"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Дніпропетровський державний аграрно-економічний університет",101.666666666667,198,136.3,3420,516,204,6,16,"https://www.dsau.dp.ua/",10400,,39,39,"107, 108",107,"Дніпропетровська область"
"Дніпропетровський державний інститут фізичної культури і спорту",101,179,128.5,345,156,94,2,3,"http://infiz.dp.ua/",11240,,,,,500,"Дніпропетровська область"
"Дніпропетровський державний університет внутрішніх справ",101.5,188,131.8,588,579,0,1,,"http://dduvs.in.ua",13650,,,,"192, 193",192,"Дніпропетровська область"
"Дніпропетровський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",103.666666666667,131.666666666667,114.7,84,4,0,21,,"http://maup.dp.ua/",10866,,,,,500,"Дніпропетровська область"
"Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна",102.333333333333,194.666666666667,148.1,4100,401,216,10,19,"http://diit.edu.ua/",11372,,142,366,"51",51,"Дніпропетровська область"
"Дніпропетровський національний університет імені Олеся Гончара",113,196,159.7,14510,1448,607,10,23,"http://www.dnu.dp.ua/",13362,,3184,10249,"11",11,"Дніпропетровська область"
"Дніпропетровський регіональний інститут державного управління Національної академії державного управління при Президентові України",102.666666666667,179,134.4,188,16,0,11,,"http://www.dridu.dp.ua",12000,,,,,500,"Дніпропетровська область"
"Донбаська державна машинобудівна академія",100,186.333333333333,139.2,700,159,116,4,6,"http://www.dgma.donetsk.ua",12375,,336,1626,"42",42,"Донецька область"
"Донбаська національна академія будівництва і архітектури",104.333333333333,186,141.8,200,54,46,3,4,"http://www.donba.edu.ua/",15000,,50,190,"130, 131",130,"Донецька область"
"Донбаський державний технічний університет",100,164.333333333333,124.8,123,40,34,3,3,"http://dondtu.edu.ua",9166,,,,"219, 220",219,"Луганська область"
"Донецька філія Приватного вищого навчального закладу «Університет сучасних знань»",121,162,134.7,5,4,0,1,,"http://usz.1gb.ua",10900,,,,,500,"Донецька область"
"Донецький державний університет управління",104.333333333333,174,143.2,467,72,51,6,9,"http://dsum.edu.ua",11080,,48,181,"107, 108",107,"Донецька область"
