"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Дніпропетровський регіональний інститут державного управління Національної академії державного управління при Президентові України",,,102.666666666667,179,134.4,"http://www.dridu.dp.ua",12000,,,500,"Дніпропетровська область",,32,204,6,,0,278,
"Донбаська державна машинобудівна академія",29,293,100,186.333333333333,139.2,"http://www.dgma.donetsk.ua",12375,,"42",42,"Донецька область",356,518,1605,3,5,10.1,518,55.984555984556
"Донбаська національна академія будівництва і архітектури",7,25,104.333333333333,186,141.8,"http://www.donba.edu.ua/",15000,,"130, 131",130,"Донецька область",106,140,299,2,3,3.6,193,36.2694300518135
"Донбаський державний технічний університет",,,100,164.333333333333,124.8,"http://dondtu.edu.ua",9166,,"219, 220",219,"Луганська область",206,303,525,2,3,0,488,
"Донецька філія Приватного вищого навчального закладу «Університет сучасних знань»",,,121,162,134.7,"http://usz.1gb.ua",10900,,,500,"Донецька область",,17,19,1,,0,17,
"Донецький державний університет управління",2,32,104.333333333333,174,143.2,"http://dsum.edu.ua",11080,,"107, 108",107,"Донецька область",118,185,594,3,5,16,185,10.8108108108108
"Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського",0,6,105.333333333333,184,142.8,"http://old.donnuet.edu.ua",12733,,"155",155,"Дніпропетровська область",131,428,1126,3,9,-1,616,0
"Донецький національний університет імені Василя Стуса",128,639,104,194.666666666667,153,"http://www.donnu.edu.ua",13084,,"18",18,"Вінницька область",438,1243,7272,6,17,5,1770,72.316384180791
"Донецький юридичний інститут МВС України",,,102.333333333333,172.666666666667,130,"http://www.dli.donetsk.ua",12450,,"190",190,"Дніпропетровська область",,41,264,6,,0,41,
"Дрогобицький державний педагогічний університет імені Івана Франка",,,100,192.333333333333,147.3,"http://pk.drohobych.net",12801,,"249, 250",249,"Львівська область",367,894,4240,5,12,0,1838,
"Дубенська філія вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,133.666666666667,133.666666666667,133.7,"http://dubno.vmurol.com.ua",6008,2016,,500,"Рівненська область",,6,41,7,,0,6,
"Дунайський інститут Національного університету «Одеська морська академія»",,,106.333333333333,183,138.3,"http://dinuoma.com.ua",20050,,,500,"Одеська область",6,99,399,4,66,0,99,
"Економіко-гуманітарний факультет Запорізького національного університету у м.Мелітополі Запорізької області",,,102,181,132.9,"http://egfznu.com.ua",9700,,,500,"Запорізька область",,66,171,3,,0,66,
"Енергодарський інститут державного та муніципального управління імені  Р.Г.  Хеноха  «Класичного приватного університету»",,,0,0,0,"http://eidmu.zp.ua/index.php/abiturienti",9005,,,500,"Запорізька область",,6,43,7,,0,6,
"Житомирська філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",,,107,135.666666666667,122.2,"http://kibit.edu.ua",12600,,,500,"Житомирська область",,72,179,2,,0,72,
"Житомирська філія Приватного вищого навчального закладу «Університет сучасних знань»",,,174.333333333333,174.333333333333,174.3,"http://usz.1gb.ua/ua/pro-universitet/filiji-ta-regiolni-pidrozdili/40-filiya-m-zhitomir",11200,,,500,"Житомирська область",,20,36,2,,0,20,
"Житомирська філія університету Державної фіскальної служби України",,,,,,,,,,,,,29,29,1,,0,29,
"Житомирський державний технологічний університет",35,147,104.666666666667,189.666666666667,145.8,"https://vstup.ztu.edu.ua",16860,,"74",74,"Житомирська область",277,779,3893,5,14,4.2,1474,23.7449118046133
"Житомирський державний університет імені Івана Франка",24,28,103.5,194.666666666667,144.7,"https://zu.edu.ua",13093,,"83",83,"Житомирська область",333,959,4719,5,14,1.2,1809,13.2669983416252
"Житомирський економіко-гуманітарний інститут Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,118,162,134.3,"http://vmurol.zt.ua/abitur.html",9000,,,500,"Житомирська область",,14,130,9,,0,28,
"Житомирський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,112.333333333333,120.333333333333,116.3,"http://maup.zt.ua/spetsialnosti.html",14275,,,500,"Житомирська область",,26,64,2,,0,26,
